Event,Team,Medal,Known As,Athlete ID,NOC,Discipline,Year,Season,Place,Tied Place
"Doubles, Men (Olympic)",Charles Dixon,Bronze,Clement Cazalet,83,GBR,Tennis,1908,Summer,3.0,False
"Singles, Men (Olympic)",,,Xinhua Chen,84,GBR,Table Tennis,1996,Summer,17.0,True
"Singles, Men (Olympic)",,,Alan Cooke,85,GBR,Table Tennis,1988,Summer,17.0,True
"Doubles, Men (Olympic)",Carl Prean,,Alan Cooke,85,GBR,Table Tennis,1988,Summer,13.0,True
"Doubles, Men (Olympic)",Carl Prean,,Alan Cooke,85,GBR,Table Tennis,1992,Summer,9.0,True
"Singles, Men (Olympic)",,,Walter Crawley,86,GBR,Tennis,1908,Summer,9.0,True
"Doubles, Men (Olympic)",Kenneth Powell,,Walter Crawley,86,GBR,Tennis,1908,Summer,4.0,True
"Singles, Men (Olympic)",,,Charles Dixon,87,GBR,Tennis,1908,Summer,5.0,True
"Doubles, Men (Olympic)",Clement Cazalet,Bronze,Charles Dixon,87,GBR,Tennis,1908,Summer,3.0,False
"Doubles, Covered Courts, Mixed (Olympic)",Edith Hannam,Gold,Charles Dixon,87,GBR,Tennis,1912,Summer,1.0,False
"Singles, Covered Courts, Men (Olympic)",,Silver,Charles Dixon,87,GBR,Tennis,1912,Summer,2.0,False
"Doubles, Covered Courts, Men (Olympic)",Alfred Beamish,Bronze,Charles Dixon,87,GBR,Tennis,1912,Summer,3.0,False
"Singles, Men (Olympic)",,Gold,Laurie Doherty,88,GBR,Tennis,1900,Summer,1.0,False
"Doubles, Mixed (Olympic)",Marion Jones,Bronze,Laurie Doherty,88,GBR,Tennis,1900,Summer,3.0,True
"Doubles, Men (Olympic)",Reggie Doherty,Gold,Laurie Doherty,88,GBR,Tennis,1900,Summer,1.0,False
"Doubles, Handicap, Mixed (Olympic (non-medal))",Marion Jones,,Laurie Doherty,88,GBR,Tennis,1900,Summer,3.0,True
